episode[sid]                                                                                n     w<0  flip  min|w|  |w|<.05   dRaw  dHemi  yawWrap
---------------------------------------------------------------------------------------------------------------------------------------------------
dadada_20260616_084743/episode_000000[box_imu]                                           2008   11.5%     0   0.001      152  0.013  2.001        0
dadada_20260616_084743/episode_000001[box_imu]                                           1300   10.2%     0   0.000      147  0.012  2.001        0
dadada_20260616_084743/episode_000002[box_imu]                                            964   17.3%     0   0.001       83  0.011  2.001        0
dadada_20260616_085132/episode_000000[box_imu]                                           1403    0.0%     0   0.056        0  0.010  0.010        0
dadada_20260616_085132/episode_000001[box_imu]                                           1332    0.0%     0   0.032      176  0.007  0.007        0
dadada_20260616_085132/episode_000002[box_imu]                                           1997    0.0%     0   0.099        0  0.023  0.023        0
dadada_20260616_085132/episode_000003[box_imu]                                           1569    0.0%     0   0.056        0  0.014  0.014        0
dadada_20260616_085132/episode_000004[box_imu]                                           1181   15.0%     0   0.000      269  0.004  2.001        0
place_bread_20260626_070237/episode_000000[box_imu]                                      1291    0.0%     0   0.217        0  0.002  0.002        0
place_bread_20260626_070237/episode_000001[box_imu]                                      1353    0.0%     0   0.205        0  0.006  0.006        0
place_bread_20260626_070237/episode_000002[box_imu]                                      1392    0.0%     0   0.184        0  0.002  0.002        0
place_bread_20260626_070237/episode_000003[box_imu]                                      1189    0.0%     0   0.219        0  0.005  0.005        0
place_bread_20260626_070237/episode_000004[box_imu]                                       838    0.0%     0   0.215        0  0.002  0.002        0
place_bread_20260626_070237/episode_000005[box_imu]                                      1404    0.0%     0   0.210        0  0.002  0.002        0
place_bread_20260626_070237/episode_000006[box_imu]                                      1351    0.0%     0   0.224        0  0.003  0.003        0
place_bread_20260626_070237/episode_000007[box_imu]                                      1343    0.0%     0   0.246        0  0.002  0.002        0
place_bread_20260626_070237/episode_000008[box_imu]                                      1283    0.0%     0   0.242        0  0.002  0.002        0
place_bread_20260626_070237/episode_000009[box_imu]                                      1263    0.0%     0   0.216        0  0.002  0.002        0
place_bread_20260626_070237/episode_000010[box_imu]                                      1356    0.0%     0   0.246        0  0.002  0.002        0
place_bread_20260626_070237/episode_000011[box_imu]                                      1319    0.0%     0   0.205        0  0.003  0.003        0
place_bread_20260626_070237/episode_000012[box_imu]                                      1167    0.0%     0   0.232        0  0.003  0.003        0
place_bread_20260626_070237/episode_000013[box_imu]                                      1200    0.0%     0   0.249        0  0.002  0.002        0
place_bread_20260626_070237/episode_000014[box_imu]                                       940    0.0%     0   0.272        0  0.009  0.009        0
place_bread_20260626_070237/episode_000015[box_imu]                                      1622    0.0%     0   0.194        0  0.004  0.004        0
place_bread_20260626_070237/episode_000016[box_imu]                                      1232    0.0%     0   0.195        0  0.003  0.003        0
place_bread_20260626_070237/episode_000017[box_imu]                                      1192    0.0%     0   0.260        0  0.002  0.002        0
place_bread_20260626_070237/episode_000018[box_imu]                                      1290    0.0%     0   0.251        0  0.002  0.002        0
place_bread_20260626_070237/episode_000019[box_imu]                                      1233    0.0%     0   0.275        0  0.005  0.005        0
place_bread_20260626_070237/episode_000020[box_imu]                                      1210    0.0%     0   0.256        0  0.002  0.002        0
place_bread_20260626_070237/episode_000021[box_imu]                                       897    0.0%     0   0.268        0  0.002  0.002        0
place_bread_20260626_070237/episode_000022[box_imu]                                      1232    0.0%     0   0.252        0  0.003  0.003        0
place_bread_20260626_070237/episode_000023[box_imu]                                      1174    0.0%     0   0.254        0  0.002  0.002        0
place_bread_20260626_070237/episode_000024[box_imu]                                       998    0.0%     0   0.255        0  0.002  0.002        0
place_bread_20260626_070237/episode_000025[box_imu]                                      1118    0.0%     0   0.262        0  0.006  0.006        0
place_bread_20260626_070237/episode_000026[box_imu]                                      1119    0.0%     0   0.263        0  0.002  0.002        0
place_bread_20260626_070237/episode_000027[box_imu]                                      1192    0.0%     0   0.195        0  0.002  0.002        0
place_bread_20260626_070237/episode_000028[box_imu]                                      1153    0.0%     0   0.273        0  0.008  0.008        0
place_bread_20260626_070237/episode_000029[box_imu]                                      1088    0.0%     0   0.294        0  0.002  0.002        0
place_bread_20260626_070237/episode_000030[box_imu]                                      1242    0.0%     0   0.309        0  0.002  0.002        0
place_bread_20260626_070237/episode_000031[box_imu]                                      1293    0.0%     0   0.304        0  0.004  0.004        0
place_bread_20260626_070237/episode_000032[box_imu]                                      1439    0.0%     0   0.205        0  0.003  0.003        0
place_bread_20260626_070237/episode_000033[box_imu]                                      1360    0.0%     0   0.237        0  0.004  0.004        0
place_bread_20260626_070237/episode_000034[box_imu]                                      1362    0.0%     0   0.217        0  0.002  0.002        0
place_bread_20260626_070237/episode_000035[box_imu]                                      1535    0.0%     0   0.247        0  0.002  0.002        0
place_bread_20260626_070237/episode_000036[box_imu]                                      1484    0.0%     0   0.246        0  0.003  0.003        0
place_bread_20260626_070237/episode_000037[box_imu]                                      1332    0.0%     0   0.246        0  0.003  0.003        0
place_bread_20260626_070237/episode_000038[box_imu]                                      1400    0.0%     0   0.239        0  0.009  0.009        0
place_bread_20260626_070237/episode_000039[box_imu]                                      1513    0.0%     0   0.240        0  0.002  0.002        0
place_bread_20260626_070237/episode_000040[box_imu]                                      1459    0.0%     0   0.251        0  0.004  0.004        0
place_bread_20260626_070237/episode_000041[box_imu]                                      1777    0.0%     0   0.218        0  0.003  0.003        0
place_bread_20260626_070237/episode_000042[box_imu]                                      1364    0.0%     0   0.232        0  0.003  0.003        0
place_bread_20260626_070237/episode_000043[box_imu]                                      1534    0.0%     0   0.195        0  0.003  0.003        0
place_bread_20260626_070237/episode_000044[box_imu]                                      1461    0.0%     0   0.193        0  0.004  0.004        0
place_bread_20260626_070237/episode_000045[box_imu]                                      1597    0.0%     0   0.145        0  0.004  0.004        0
place_bread_20260626_070237/episode_000046[box_imu]                                      1403    0.0%     0   0.149        0  0.004  0.004        0
place_bread_20260626_070237/episode_000047[box_imu]                                      1649    0.0%     0   0.183        0  0.005  0.005        0
place_bread_20260626_070237/episode_000048[box_imu]                                      1511    0.0%     0   0.235        0  0.003  0.003        0
place_bread_20260626_070237/episode_000049[box_imu]                                      1402    0.0%     0   0.168        0  0.003  0.003        0
place_bread_20260626_070237/episode_000050[box_imu]                                      1606    0.0%     0   0.190        0  0.002  0.002        0
place_bread_20260626_070237/episode_000051[box_imu]                                      1373    0.0%     0   0.176        0  0.002  0.002        0
place_bread_20260626_070237/episode_000052[box_imu]                                      1717    0.0%     0   0.187        0  0.002  0.002        0
place_bread_20260626_070237/episode_000053[box_imu]                                      1495    0.0%     0   0.163        0  0.002  0.002        0
place_bread_20260626_070237/episode_000054[box_imu]                                      1379    0.0%     0   0.152        0  0.003  0.003        0
place_bread_20260626_070237/episode_000055[box_imu]                                      1632    0.0%     0   0.221        0  0.007  0.007        0
place_bread_20260626_070237/episode_000056[box_imu]                                      1608    0.0%     0   0.179        0  0.003  0.003        0
place_bread_20260626_070237/episode_000057[box_imu]                                      1331    0.0%     0   0.145        0  0.003  0.003        0
place_bread_20260626_070237/episode_000058[box_imu]                                      1494    0.0%     0   0.176        0  0.003  0.003        0
place_bread_20260626_070237/episode_000059[box_imu]                                      1309    0.0%     0   0.174        0  0.008  0.008        0
place_bread_20260626_070237/episode_000060[box_imu]                                      1371    0.0%     0   0.181        0  0.004  0.004        0
place_bread_20260626_070237/episode_000061[box_imu]                                      1524    0.0%     0   0.161        0  0.002  0.002        0
place_bread_20260626_070237/episode_000062[box_imu]                                      1550    0.0%     0   0.192        0  0.003  0.003        0
place_bread_20260626_070237/episode_000063[box_imu]                                      1543    0.0%     0   0.175        0  0.004  0.004        0
place_bread_20260626_070237/episode_000064[box_imu]                                      1372    0.0%     0   0.189        0  0.003  0.003        0
place_bread_20260626_070237/episode_000065[box_imu]                                      1395    0.0%     0   0.196        0  0.002  0.002        0
place_bread_20260626_070237/episode_000066[box_imu]                                      1457    0.0%     0   0.137        0  0.008  0.008        0
place_bread_20260626_070237/episode_000067[box_imu]                                      1341    0.0%     0   0.182        0  0.003  0.003        0
place_bread_20260626_070237/episode_000068[box_imu]                                      1181    0.0%     0   0.210        0  0.002  0.002        0
place_bread_20260626_070237/episode_000069[box_imu]                                      1383    0.0%     0   0.230        0  0.003  0.003        0
place_bread_20260626_070237/episode_000070[box_imu]                                      1262    0.0%     0   0.232        0  0.003  0.003        0
place_bread_20260626_070237/episode_000071[box_imu]                                      1171    0.0%     0   0.245        0  0.001  0.001        0
place_bread_20260626_070237/episode_000072[box_imu]                                      1536    0.0%     0   0.244        0  0.002  0.002        0
place_bread_20260626_070237/episode_000073[box_imu]                                      1317    0.0%     0   0.232        0  0.004  0.004        0
place_bread_20260626_070237/episode_000074[box_imu]                                      1546    0.0%     0   0.213        0  0.002  0.002        0
place_bread_20260626_070237/episode_000075[box_imu]                                      1403    0.0%     0   0.243        0  0.002  0.002        0
place_bread_20260626_070237/episode_000076[box_imu]                                      1148    0.0%     0   0.227        0  0.002  0.002        0
place_bread_20260626_070237/episode_000077[box_imu]                                       885    0.0%     0   0.245        0  0.002  0.002        0
place_bread_20260626_070237/episode_000078[box_imu]                                      1502    0.0%     0   0.195        0  0.003  0.003        0
place_bread_20260626_070237/episode_000079[box_imu]                                      1383    0.0%     0   0.204        0  0.002  0.002        0
place_bread_20260626_070237/episode_000080[box_imu]                                      1181    0.0%     0   0.237        0  0.003  0.003        0
place_bread_20260626_070237/episode_000081[box_imu]                                      1423    0.0%     0   0.261        0  0.003  0.003        0
place_bread_20260626_070237/episode_000082[box_imu]                                      1507    0.0%     0   0.246        0  0.002  0.002        0
place_bread_20260626_070237/episode_000083[box_imu]                                      1391    0.0%     0   0.256        0  0.006  0.006        0
place_bread_20260626_070237/episode_000084[box_imu]                                      1161    0.0%     0   0.227        0  0.002  0.002        0
place_bread_20260626_070237/episode_000085[box_imu]                                      1373    0.0%     0   0.258        0  0.002  0.002        0
place_bread_20260626_070237/episode_000086[box_imu]                                      1090    0.0%     0   0.253        0  0.002  0.002        0
place_bread_20260626_070237/episode_000087[box_imu]                                      1021    0.0%     0   0.239        0  0.002  0.002        0
place_bread_20260626_070237/episode_000088[box_imu]                                      1284    0.0%     0   0.195        0  0.004  0.004        0
place_bread_20260626_070237/episode_000089[box_imu]                                      1030    0.0%     0   0.256        0  0.002  0.002        0
place_bread_20260626_070237/episode_000090[box_imu]                                      1241    0.0%     0   0.259        0  0.002  0.002        0
place_bread_20260626_070237/episode_000091[box_imu]                                      1181    0.0%     0   0.242        0  0.002  0.002        0
